# timestamp, x, y, z, qx, qy, qz, qw,
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
10000000,0.000000,0.000000,0.000000,0.007854,0.000000,0.000000,0.999969,
20000000,0.000000,0.000000,0.000000,0.015707,0.000000,0.000000,0.999877,
30000000,0.000000,0.000000,0.000000,0.023560,0.000000,0.000000,0.999722,
40000000,0.000000,0.000000,0.000000,0.031411,0.000000,0.000000,0.999507,
50000000,0.000000,0.000000,0.000000,0.039260,0.000000,0.000000,0.999229,
60000000,0.000000,0.000000,0.000000,0.047106,0.000000,0.000000,0.998890,
70000000,0.000000,0.000000,0.000000,0.054950,0.000000,0.000000,0.998489,
80000000,0.000000,0.000000,0.000000,0.062791,0.000000,0.000000,0.998027,
90000000,0.000000,0.000000,0.000000,0.070627,0.000000,0.000000,0.997503,
100000000,0.000000,0.000000,0.000000,0.078459,0.000000,0.000000,0.996917,
110000000,0.000000,0.000000,0.000000,0.086286,0.000000,0.000000,0.996270,
120000000,0.000000,0.000000,0.000000,0.094108,0.000000,0.000000,0.995562,
130000000,0.000000,0.000000,0.000000,0.101924,0.000000,0.000000,0.994792,
140000000,0.000000,0.000000,0.000000,0.109734,0.000000,0.000000,0.993961,
150000000,0.000000,0.000000,0.000000,0.117537,0.000000,0.000000,0.993068,
160000000,0.000000,0.000000,0.000000,0.125333,0.000000,0.000000,0.992115,
170000000,0.000000,0.000000,0.000000,0.133121,0.000000,0.000000,0.991100,
180000000,0.000000,0.000000,0.000000,0.140901,0.000000,0.000000,0.990024,
190000000,0.000000,0.000000,0.000000,0.148672,0.000000,0.000000,0.988886,
200000000,0.000000,0.000000,0.000000,0.156434,0.000000,0.000000,0.987688,
210000000,0.000000,0.000000,0.000000,0.164187,0.000000,0.000000,0.986429,
220000000,0.000000,0.000000,0.000000,0.171929,0.000000,0.000000,0.985109,
230000000,0.000000,0.000000,0.000000,0.179661,0.000000,0.000000,0.983729,
240000000,0.000000,0.000000,0.000000,0.187381,0.000000,0.000000,0.982287,
250000000,0.000000,0.000000,0.000000,0.195090,0.000000,0.000000,0.980785,
260000000,0.000000,0.000000,0.000000,0.202787,0.000000,0.000000,0.979223,
270000000,0.000000,0.000000,0.000000,0.210472,0.000000,0.000000,0.977600,
280000000,0.000000,0.000000,0.000000,0.218143,0.000000,0.000000,0.975917,
290000000,0.000000,0.000000,0.000000,0.225801,0.000000,0.000000,0.974173,
300000000,0.000000,0.000000,0.000000,0.233445,0.000000,0.000000,0.972370,
310000000,0.000000,0.000000,0.000000,0.241075,0.000000,0.000000,0.970506,
320000000,0.000000,0.000000,0.000000,0.248690,0.000000,0.000000,0.968583,
330000000,0.000000,0.000000,0.000000,0.256289,0.000000,0.000000,0.966600,
340000000,0.000000,0.000000,0.000000,0.263873,0.000000,0.000000,0.964557,
350000000,0.000000,0.000000,0.000000,0.271440,0.000000,0.000000,0.962455,
360000000,0.000000,0.000000,0.000000,0.278991,0.000000,0.000000,0.960294,
370000000,0.000000,0.000000,0.000000,0.286525,0.000000,0.000000,0.958073,
380000000,0.000000,0.000000,0.000000,0.294040,0.000000,0.000000,0.955793,
390000000,0.000000,0.000000,0.000000,0.301538,0.000000,0.000000,0.953454,
400000000,0.000000,0.000000,0.000000,0.309017,0.000000,0.000000,0.951057,
410000000,0.000000,0.000000,0.000000,0.316477,0.000000,0.000000,0.948600,
420000000,0.000000,0.000000,0.000000,0.323917,0.000000,0.000000,0.946085,
430000000,0.000000,0.000000,0.000000,0.331338,0.000000,0.000000,0.943512,
440000000,0.000000,0.000000,0.000000,0.338738,0.000000,0.000000,0.940881,
450000000,0.000000,0.000000,0.000000,0.346117,0.000000,0.000000,0.938191,
460000000,0.000000,0.000000,0.000000,0.353475,0.000000,0.000000,0.935444,
470000000,0.000000,0.000000,0.000000,0.360811,0.000000,0.000000,0.932639,
480000000,0.000000,0.000000,0.000000,0.368125,0.000000,0.000000,0.929776,
490000000,0.000000,0.000000,0.000000,0.375416,0.000000,0.000000,0.926857,
500000000,0.000000,0.000000,0.000000,0.382683,0.000000,0.000000,0.923880,
510000000,0.000000,0.000000,0.000000,0.389928,0.000000,0.000000,0.920845,
520000000,0.000000,0.000000,0.000000,0.397148,0.000000,0.000000,0.917755,
530000000,0.000000,0.000000,0.000000,0.404344,0.000000,0.000000,0.914607,
