# timestamp, x, y, z, qx, qy, qz, qw,
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
10000000,0.000000,0.000000,0.000000,0.000000,0.001571,0.000000,0.999999,
20000000,0.000000,0.000000,0.000000,0.000000,0.003142,0.000000,0.999995,
30000000,0.000000,0.000000,0.000000,0.000000,0.004712,0.000000,0.999989,
40000000,0.000000,0.000000,0.000000,0.000000,0.006283,0.000000,0.999980,
50000000,0.000000,0.000000,0.000000,0.000000,0.007854,0.000000,0.999969,
60000000,0.000000,0.000000,0.000000,0.000000,0.009425,0.000000,0.999956,
70000000,0.000000,0.000000,0.000000,0.000000,0.010995,0.000000,0.999940,
80000000,0.000000,0.000000,0.000000,0.000000,0.012566,0.000000,0.999921,
90000000,0.000000,0.000000,0.000000,0.000000,0.014137,0.000000,0.999900,
100000000,0.000000,0.000000,0.000000,0.000000,0.015707,0.000000,0.999877,
110000000,0.000000,0.000000,0.000000,0.000000,0.017278,0.000000,0.999851,
120000000,0.000000,0.000000,0.000000,0.000000,0.018848,0.000000,0.999822,
130000000,0.000000,0.000000,0.000000,0.000000,0.020419,0.000000,0.999792,
140000000,0.000000,0.000000,0.000000,0.000000,0.021989,0.000000,0.999758,
150000000,0.000000,0.000000,0.000000,0.000000,0.023560,0.000000,0.999722,
160000000,0.000000,0.000000,0.000000,0.000000,0.025130,0.000000,0.999684,
170000000,0.000000,0.000000,0.000000,0.000000,0.026700,0.000000,0.999643,
180000000,0.000000,0.000000,0.000000,0.000000,0.028271,0.000000,0.999600,
190000000,0.000000,0.000000,0.000000,0.000000,0.029841,0.000000,0.999555,
200000000,0.000000,0.000000,0.000000,0.000000,0.031411,0.000000,0.999507,
210000000,0.000000,0.000000,0.000000,0.000000,0.032981,0.000000,0.999456,
220000000,0.000000,0.000000,0.000000,0.000000,0.034551,0.000000,0.999403,
230000000,0.000000,0.000000,0.000000,0.000000,0.036120,0.000000,0.999347,
240000000,0.000000,0.000000,0.000000,0.000000,0.037690,0.000000,0.999289,
250000000,0.000000,0.000000,0.000000,0.000000,0.039260,0.000000,0.999229,
260000000,0.000000,0.000000,0.000000,0.000000,0.040829,0.000000,0.999166,
270000000,0.000000,0.000000,0.000000,0.000000,0.042399,0.000000,0.999101,
280000000,0.000000,0.000000,0.000000,0.000000,0.043968,0.000000,0.999033,
290000000,0.000000,0.000000,0.000000,0.000000,0.045537,0.000000,0.998963,
300000000,0.000000,0.000000,0.000000,0.000000,0.047106,0.000000,0.998890,
310000000,0.000000,0.000000,0.000000,0.000000,0.048675,0.000000,0.998815,
320000000,0.000000,0.000000,0.000000,0.000000,0.050244,0.000000,0.998737,
330000000,0.000000,0.000000,0.000000,0.000000,0.051813,0.000000,0.998657,
340000000,0.000000,0.000000,0.000000,0.000000,0.053382,0.000000,0.998574,
350000000,0.000000,0.000000,0.000000,0.000000,0.054950,0.000000,0.998489,
360000000,0.000000,0.000000,0.000000,0.000000,0.056519,0.000000,0.998402,
370000000,0.000000,0.000000,0.000000,0.000000,0.058087,0.000000,0.998312,
380000000,0.000000,0.000000,0.000000,0.000000,0.059655,0.000000,0.998219,
390000000,0.000000,0.000000,0.000000,0.000000,0.061223,0.000000,0.998124,
400000000,0.000000,0.000000,0.000000,0.000000,0.062791,0.000000,0.998027,
410000000,0.000000,0.000000,0.000000,0.000000,0.064358,0.000000,0.997927,
420000000,0.000000,0.000000,0.000000,0.000000,0.065926,0.000000,0.997825,
430000000,0.000000,0.000000,0.000000,0.000000,0.067493,0.000000,0.997720,
440000000,0.000000,0.000000,0.000000,0.000000,0.069060,0.000000,0.997613,
450000000,0.000000,0.000000,0.000000,0.000000,0.070627,0.000000,0.997503,
460000000,0.000000,0.000000,0.000000,0.000000,0.072194,0.000000,0.997391,
470000000,0.000000,0.000000,0.000000,0.000000,0.073760,0.000000,0.997276,
480000000,0.000000,0.000000,0.000000,0.000000,0.075327,0.000000,0.997159,
490000000,0.000000,0.000000,0.000000,0.000000,0.076893,0.000000,0.997039,
500000000,0.000000,0.000000,0.000000,0.000000,0.078459,0.000000,0.996917,
510000000,0.000000,0.000000,0.000000,0.000000,0.080025,0.000000,0.996793,
520000000,0.000000,0.000000,0.000000,0.000000,0.081591,0.000000,0.996666,
530000000,0.000000,0.000000,0.000000,0.000000,0.083156,0.000000,0.996537,
540000000,0.000000,0.000000,0.000000,0.000000,0.084721,0.000000,0.996405,
550000000,0.000000,0.000000,0.000000,0.000000,0.086286,0.000000,0.996270,
560000000,0.000000,0.000000,0.000000,0.000000,0.087851,0.000000,0.996134,
570000000,0.000000,0.000000,0.000000,0.000000,0.089416,0.000000,0.995994,
580000000,0.000000,0.000000,0.000000,0.000000,0.090980,0.000000,0.995853,
590000000,0.000000,0.000000,0.000000,0.000000,0.092544,0.000000,0.995709,
600000000,0.000000,0.000000,0.000000,0.000000,0.094108,0.000000,0.995562,
610000000,0.000000,0.000000,0.000000,0.000000,0.095672,0.000000,0.995413,
620000000,0.000000,0.000000,0.000000,0.000000,0.097235,0.000000,0.995261,
630000000,0.000000,0.000000,0.000000,0.000000,0.098799,0.000000,0.995107,
640000000,0.000000,0.000000,0.000000,0.000000,0.100362,0.000000,0.994951,
650000000,0.000000,0.000000,0.000000,0.000000,0.101924,0.000000,0.994792,
660000000,0.000000,0.000000,0.000000,0.000000,0.103487,0.000000,0.994631,
670000000,0.000000,0.000000,0.000000,0.000000,0.105049,0.000000,0.994467,
680000000,0.000000,0.000000,0.000000,0.000000,0.106611,0.000000,0.994301,
690000000,0.000000,0.000000,0.000000,0.000000,0.108173,0.000000,0.994132,
700000000,0.000000,0.000000,0.000000,0.000000,0.109734,0.000000,0.993961,
710000000,0.000000,0.000000,0.000000,0.000000,0.111295,0.000000,0.993787,
720000000,0.000000,0.000000,0.000000,0.000000,0.112856,0.000000,0.993611,
730000000,0.000000,0.000000,0.000000,0.000000,0.114417,0.000000,0.993433,
740000000,0.000000,0.000000,0.000000,0.000000,0.115977,0.000000,0.993252,
750000000,0.000000,0.000000,0.000000,0.000000,0.117537,0.000000,0.993068,
760000000,0.000000,0.000000,0.000000,0.000000,0.119097,0.000000,0.992883,
770000000,0.000000,0.000000,0.000000,0.000000,0.120657,0.000000,0.992694,
780000000,0.000000,0.000000,0.000000,0.000000,0.122216,0.000000,0.992504,
790000000,0.000000,0.000000,0.000000,0.000000,0.123775,0.000000,0.992310,
800000000,0.000000,0.000000,0.000000,0.000000,0.125333,0.000000,0.992115,
810000000,0.000000,0.000000,0.000000,0.000000,0.126891,0.000000,0.991917,
820000000,0.000000,0.000000,0.000000,0.000000,0.128449,0.000000,0.991716,
830000000,0.000000,0.000000,0.000000,0.000000,0.130007,0.000000,0.991513,
840000000,0.000000,0.000000,0.000000,0.000000,0.131564,0.000000,0.991308,
850000000,0.000000,0.000000,0.000000,0.000000,0.133121,0.000000,0.991100,
860000000,0.000000,0.000000,0.000000,0.000000,0.134678,0.000000,0.990889,
870000000,0.000000,0.000000,0.000000,0.000000,0.136234,0.000000,0.990677,
880000000,0.000000,0.000000,0.000000,0.000000,0.137790,0.000000,0.990461,
890000000,0.000000,0.000000,0.000000,0.000000,0.139346,0.000000,0.990244,
900000000,0.000000,0.000000,0.000000,0.000000,0.140901,0.000000,0.990024,
910000000,0.000000,0.000000,0.000000,0.000000,0.142456,0.000000,0.989801,
920000000,0.000000,0.000000,0.000000,0.000000,0.144011,0.000000,0.989576,
930000000,0.000000,0.000000,0.000000,0.000000,0.145565,0.000000,0.989349,
940000000,0.000000,0.000000,0.000000,0.000000,0.147119,0.000000,0.989119,
950000000,0.000000,0.000000,0.000000,0.000000,0.148672,0.000000,0.988886,
960000000,0.000000,0.000000,0.000000,0.000000,0.150226,0.000000,0.988652,
970000000,0.000000,0.000000,0.000000,0.000000,0.151778,0.000000,0.988415,
980000000,0.000000,0.000000,0.000000,0.000000,0.153331,0.000000,0.988175,
990000000,0.000000,0.000000,0.000000,0.000000,0.154883,0.000000,0.987933,
1000000000,0.000000,0.000000,0.000000,0.000000,0.156434,0.000000,0.987688,
1010000000,0.000000,0.000000,0.000000,0.000000,0.154883,0.000000,0.987933,
1020000000,0.000000,0.000000,0.000000,0.000000,0.153331,0.000000,0.988175,
1030000000,0.000000,0.000000,0.000000,0.000000,0.151778,0.000000,0.988415,
1040000000,0.000000,0.000000,0.000000,0.000000,0.150226,0.000000,0.988652,
1050000000,0.000000,0.000000,0.000000,0.000000,0.148672,0.000000,0.988886,
1060000000,0.000000,0.000000,0.000000,0.000000,0.147119,0.000000,0.989119,
1070000000,0.000000,0.000000,0.000000,0.000000,0.145565,0.000000,0.989349,
1080000000,0.000000,0.000000,0.000000,0.000000,0.144011,0.000000,0.989576,
1090000000,0.000000,0.000000,0.000000,0.000000,0.142456,0.000000,0.989801,
1100000000,0.000000,0.000000,0.000000,0.000000,0.140901,0.000000,0.990024,
1110000000,0.000000,0.000000,0.000000,0.000000,0.139346,0.000000,0.990244,
1120000000,0.000000,0.000000,0.000000,0.000000,0.137790,0.000000,0.990461,
