# timestamp, x, y, z, qx, qy, qz, qw,
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
10000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.000000,1.000000,
20000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,1.000000,
30000000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,1.000000,
40000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,1.000000,
50000000,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,1.000000,
60000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,1.000000,
70000000,0.000000,0.000000,0.070000,0.000000,0.000000,0.000000,1.000000,
80000000,0.000000,0.000000,0.080000,0.000000,0.000000,0.000000,1.000000,
90000000,0.000000,0.000000,0.090000,0.000000,0.000000,0.000000,1.000000,
100000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,1.000000,
110000000,0.000000,0.000000,0.110000,0.000000,0.000000,0.000000,1.000000,
120000000,0.000000,0.000000,0.120000,0.000000,0.000000,0.000000,1.000000,
130000000,0.000000,0.000000,0.130000,0.000000,0.000000,0.000000,1.000000,
140000000,0.000000,0.000000,0.140000,0.000000,0.000000,0.000000,1.000000,
150000000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,1.000000,
160000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,1.000000,
170000000,0.000000,0.000000,0.170000,0.000000,0.000000,0.000000,1.000000,
180000000,0.000000,0.000000,0.180000,0.000000,0.000000,0.000000,1.000000,
190000000,0.000000,0.000000,0.190000,0.000000,0.000000,0.000000,1.000000,
200000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,1.000000,
210000000,0.000000,0.000000,0.210000,0.000000,0.000000,0.000000,1.000000,
220000000,0.000000,0.000000,0.220000,0.000000,0.000000,0.000000,1.000000,
230000000,0.000000,0.000000,0.230000,0.000000,0.000000,0.000000,1.000000,
240000000,0.000000,0.000000,0.240000,0.000000,0.000000,0.000000,1.000000,
250000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,1.000000,
260000000,0.000000,0.000000,0.260000,0.000000,0.000000,0.000000,1.000000,
270000000,0.000000,0.000000,0.270000,0.000000,0.000000,0.000000,1.000000,
280000000,0.000000,0.000000,0.280000,0.000000,0.000000,0.000000,1.000000,
290000000,0.000000,0.000000,0.290000,0.000000,0.000000,0.000000,1.000000,
300000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,1.000000,
310000000,0.000000,0.000000,0.310000,0.000000,0.000000,0.000000,1.000000,
320000000,0.000000,0.000000,0.320000,0.000000,0.000000,0.000000,1.000000,
330000000,0.000000,0.000000,0.330000,0.000000,0.000000,0.000000,1.000000,
340000000,0.000000,0.000000,0.340000,0.000000,0.000000,0.000000,1.000000,
350000000,0.000000,0.000000,0.350000,0.000000,0.000000,0.000000,1.000000,
360000000,0.000000,0.000000,0.360000,0.000000,0.000000,0.000000,1.000000,
370000000,0.000000,0.000000,0.370000,0.000000,0.000000,0.000000,1.000000,
380000000,0.000000,0.000000,0.380000,0.000000,0.000000,0.000000,1.000000,
390000000,0.000000,0.000000,0.390000,0.000000,0.000000,0.000000,1.000000,
400000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,1.000000,
